Symbol	Description
0269.HK	Seapower Resources International Ltd
0270.HK	Guangdong Investment Ltd
0271.HK	Dan Form Holdings Co. Ltd
0272.HK	Hudson Holdings W0206
0273.HK	Willie International Holdings Ltd
0275.HK	Hanny Holdings Ltd
0276.HK	New World CyberBase Ltd
0279.HK	Freeman Corporation Ltd
0280.HK	King Fook Holdings Ltd
0281.HK	Rivera (Holdings) Ltd
0282.HK	Next Media Ltd
0283.HK	Matsunichi Communication Holdings Ltd
0285.HK	BYD Electronic International Company Ltd
0286.HK	G-Prop (Holdings) Ltd
0289.HK	Wing On Company International Ltd
0290.HK	China Conservational Power Holdings Ltd
0291.HK	China Resources Enterprise Ltd
0292.HK	Asia Standard Hotel Group Ltd
0293.HK	Cathay Pacific Airways Ltd
0294.HK	Yangtzekiang Garment Ltd
0295.HK	Kong Sun Holdings Ltd
0297.HK	Sinofert Holdings Ltd
0298.HK	Chuang's China Investments Ltd
0299.HK	SinoCom Software Group Ltd
0300.HK	Jiaoda Kunji High-Tech Co. Ltd
0302.HK	Wing Hang Bank Ltd
0303.HK	VTech Holdings Ltd
0305.HK	Magnum International Holdings Ltd
0306.HK	Kwoon Chung Bus Holdings Ltd
0307.HK	Tidetime Sun (Group) Ltd
0308.HK	China Travel International Investment Hong Kong Ltd
0310.HK	Prosperity Investment Holdings Ltd
0311.HK	Luen Thai Holdings Ltd
0313.HK	Dickson Group Holdings Ltd
0315.HK	SmarTone Telecommunications Holdings Ltd
0316.HK	Orient Overseas (International) Ltd
0317.HK	Guangzhou Shipyard International Co. Ltd
0318.HK	Vongroup Ltd
0319.HK	China Metal International Holdings Inc.
0320.HK	Computime Group Ltd
0321.HK	Texwinca Holdings Ltd
0322.HK	Tingyi (Cayman Islands) Holdings Corp.
0323.HK	Maanshan Iron & Steel Co. Ltd
0325.HK	Sinopec Beijing Yanhua Petrochem Coltd
0327.HK	Shanxi Central Pharmaceutical Intl Ltd
0328.HK	Alco Holdings Ltd
0330.HK	Esprit Holdings Ltd
0331.HK	China Resources Peoples Telephone
0332.HK	Ngai Lik Industrial Holdings Ltd
0333.HK	Top Form International Ltd
0335.HK	Upbest Group Ltd
0336.HK	Huabao International Holdings Ltd
0337.HK	Cec International Holdings Ltd W0309
0338.HK	Sinopec Shanghai Petrochemical Co. Ltd
0341.HK	Cafe de Coral Holdings Ltd
0342.HK	NewOcean Energy Holdings Ltd
0343.HK	Culturecom Holdings Ltd
0345.HK	Vitasoy International Holdings Ltd
0346.HK	Sino Union Petroleum & Chemical International Ltd
0347.HK	Angang New Steel Co. Ltd
0348.HK	Lung Cheong International Holdings Ltd
0350.HK	Jingwei Textile Machinery Co. Ltd
0351.HK	China Sciences Conservational Power Ltd
0352.HK	Fortune Sun (China) Holdings Ltd
0354.HK	Chinasoft International Ltd
0355.HK	Century City International Holdings Ltd
0357.HK	Hainan Meilan International Airport Co. Ltd
0358.HK	Jiangxi Copper Co. Ltd
0359.HK	China Haisheng Juice Holdings Co. Ltd
0360.HK	New Focus Auto Tech Holdings Ltd
0361.HK	Sino Golf Holdings Ltd
0362.HK	Daqing Petroleum and Chemical Group Ltd
0363.HK	Shanghai Industrial Holdings Ltd
0364.HK	Huafeng Textile International Group Ltd
0365.HK	Sun East Technology (Holdings) Ltd
0366.HK	Luks Industrial (Group) Ltd
0367.HK	Chuang's Consortium International Ltd
0368.HK	Sinotrans Shipping Ltd
0369.HK	USI Holdings Ltd
0370.HK	China Best Group Holding Ltd
0371.HK	Shang Hua Holdings Ltd
0372.HK	ITC Corporation Ltd
0373.HK	Allied Group Ltd
0374.HK	Four Seas Mercantile Holdings Ltd
0375.HK	YGM Trading Ltd
0377.HK	New Island Printing Holdings Ltd
0378.HK	E2-Capital (Holdings) Ltd
0379.HK	PME Group Ltd
0381.HK	Kiu Hung International Holdings Ltd
0382.HK	Hualing Holdings Ltd
0383.HK	COL Capital Ltd
0385.HK	Chinney Alliance Group Ltd
0386.HK	China Petroleum & Chemical Corporation
0387.HK	Leeport (Holdings) Ltd
0388.HK	Hong Kong Exchanges and Clearing Ltd
0389.HK	Moulin Global Eyecare Holdings Ltd
0390.HK	China Railway Group Ltd
0391.HK	Mei Ah Entertainment Group Ltd
0392.HK	Beijing Enterprises Holdings Ltd
0393.HK	Glorious Sun Enterprises Ltd
0395.HK	Asia Zirconium Ltd
0397.HK	Town Health Medical Technology Holdings Co. Ltd
0398.HK	Oriental Watch Holdings Ltd
0399.HK	Far East Pharmaceutical Technology Co. Ltd
0402.HK	Ming Hing Holdings Ltd
0403.HK	Starlite Holdings Ltd
0404.HK	Hsin Chong Construction Group Ltd
0405.HK	GZI Real Estate Investment Trust
0406.HK	Yau Lee Holdings Ltd
0408.HK	Yip's Chemical Holdings Ltd
0410.HK	SOHO China Ltd
0412.HK	Heritage International Holdings Ltd
0413.HK	South China Industries Ltd
0417.HK	Tse Sui Luen Jewellery (International) Ltd
0418.HK	Founder Holdings Ltd
0420.HK	Fountain Set (Holdings) Ltd
0422.HK	Vietnam Manufacturing and Export Processing Ltd
0423.HK	Hong Kong Economic Times Holdings Ltd
0425.HK	Minth Group Ltd
0426.HK	One Media Group Ltd
0430.HK	Oriental Explorer Holdings Ltd
0431.HK	Greater China Holdings Ltd
0432.HK	Pacific Century Premium Developments Ltd
0433.HK	Sun Man Tai Holdings Co. Ltd
0435.HK	Sunlight Real Estate Investment Trust
0438.HK	IRICO Group Electronics Co. Ltd
0440.HK	Dah Sing Financial Holdings Ltd
0444.HK	Sincere Watch (Hong Kong) Ltd
0445.HK	China Fire Safety Enterprise Group Holdings Ltd
0449.HK	Chigo Holding Ltd
0450.HK	Hung Hing Printing Group Ltd
0451.HK	Same Time Holdings Ltd
0455.HK	Yunnan Enterprises Holdings Ltd
0458.HK	Tristate Holdings Ltd
0459.HK	Midland ICI Ltd
0460.HK	Sihuan Pharmaceutical Holdings Group Ltd
0464.HK	Kenford Group Holdings Ltd
0465.HK	Ford Motor Credit Co. 7.2% Notes 2007
0467.HK	Orient Resources Group Co. Ltd
0468.HK	
0469.HK	General Motors Acceptance Corp 1000n0207
0472.HK	MACRO-LINK International Holdings Ltd
0474.HK	Winbox International (Holdings) Ltd
0475.HK	Noble Jewelry Holdings Ltd
0477.HK	AUPU Group Holding Co. Ltd.  
