Symbol	Description
L19.SI	Lum Chang Holdings Limited
L1AW.SI	Singapore Exchangemblecw130603
L1D.SI	Consciencefood Holding Limited
L1NW.SI	Riverstone Holdings W130802
L20.SI	Lifebrandz Ltd.
L22.SI	Lankom Electronics Limited
L23.SI	Enviro-hub Holdings Ltd
L25.SI	Lee Kim Tah Hldgs Limited
L28.SI	Longcheer Holdings Limited
L2PW.SI	Genting Sin Mbl Ecw130103
L34.SI	Luxking Group Holdings Limited
L38.SI	L.c.development Ltd
L46.SI	Luzhou Bio-chem Technology Ltd
L5F.SI	Dbxt Dbcbdjubsci Etf 10
L5G.SI	Dbxt Dbcbleb Etf 10
L5I.SI	Abterra Ltd
L5J.SI	Viz Branz Limited
L6T.SI	Psl Holdings Ltd
L7KW.SI	Genting Sin Mbl Ecw130104
L7OW.SI	Yangzijiang Mbl Ecw130104
LF1.SI	Dbxt S&p/asx 200 Etf 10
LF2.SI	Dbxt Msci Japan Trn Etf 10
LG2U.SI	Treasury China Trust
LG6.SI	Dbxt Msci Malaysia Trn Etf 10
LG7.SI	Dbxt Msci Thailand Trn Etf 10
LG8.SI	Dbxt Msci India Trn Etf 10
LG9.SI	Dbxt Msci China Trn Etf 10
LH4U.SI	K-green Trust
LJ3.SI	Overseas Union Enterprise Ltd
LR9W.SI	Best World Intl Ltd W130705
LS9.SI	Leader Environmental Tech Ltd
M01.SI	Metro Holdings Limited
M03.SI	Miyoshi Precision Limited
M04.SI	Mandarin Oriental Intl Ltd
M05.SI	Mtq Corporation Limited
M06.SI	Multi-chem Limited
M09.SI	S I2i Limited
M11.SI	Mfg Integration Technology Ltd
M14.SI	Innotek Limited
M15.SI	Matex International Limited
M1GU.SI	Sabana Shari'ah Compliant Reit
M1P.SI	Amtek Engineering Ltd
M1Z.SI	Tee International Limited
M22.SI	Lottvision Limited
M26.SI	Memtech International Ltd
M2IW.SI	Dragon Group Intl W131209
M30.SI	Meghmani Organics Limited
M35.SI	Wheelock Properties (s) Ltd
M3TW.SI	Transcu Group Limited W130109
M41.SI	Macquarie Int'l Infra Fund Ltd
M44U.SI	Mapletree Logistics Trust
M62.SI	Cimb Ftse Asean40 100
M8J.SI	China Environmental Res Gp Ltd
M8MW.SI	Wilmar Mbl Ecw130603
M8NW.SI	Sembcorp Marine Mbl Ecw130603
M8OW.SI	Nol Mbl Ecw130603
M8PW.SI	Kepcorp Mbl Ecw130603
M8TZ.SI	Capmallasiatrs$125m2.15%140121
M9F.SI	Xmh Holdings Ltd.
MA6Z.SI	Sia $300m 2.15%b150930
MC0.SI	Global Logistic Prop Limited
MC7.SI	Yamada Green Resources Limited
ME8U.SI	Mapletree Industrial Trust
MF5.SI	Anchun International Hldgs Ltd
MF6.SI	Mun Siong Engineering Limited
MG8W.SI	Singapore Exchangemblecw130103
MN5.SI	Xinren Aluminum Holdings Ltd
MQ4.SI	Bund Center Investment Ltd
MR2W.SI	Falcon Energy Group W131102
MR7.SI	Nordic Group Limited
MR8.SI	Novo Group Ltd.
MS6W.SI	Allied Technologies W131102
MS7.SI	Stx Osv Holdings Limited
MT1.SI	Dragon Group Intl Limited
MT7.SI	Lyxor Etf Asia Real Estate 10
MU7.SI	Dbs S$800m 4.7% Ncps
MV1W.SI	Sinarmas Land Limited Ew151118
MV4.SI	Mewah International Inc.
MV7W.SI	Cosco Corp Mbl Ecw130102
MV8W.SI	Kepcorp Mbl Ecw130103
MV9W.SI	Noble Group Mbl Ecw130103
MW0W.SI	Uob Mbl Ecw130103
N01.SI	Neratelecommunications Ltd
N02.SI	Nsl Ltd.
N03.SI	Neptune Orient Lines Limited
N08.SI	New Toyo Int Hldgs Ltd
N0L.SI	Eastgate Technology Ltd
N0Z.SI	Combine Will Intl Hldgs Ltd
N14.SI	M Development Ltd.
N21.SI	Noble Group Limited
N2E.SI	Dbxt Msci Philippines Etf 10
N2F.SI	Dbxt Msci Asia Exjap Hdy Etf10
N2H.SI	Hyflux 6% Cum Pref Class A 10
N2IU.SI	Mapletree Commercial Trust
N32.SI	Nippecraft Limited
N33.SI	Nomura Holdings Inc
N4E.SI	Nam Cheong Limited
N5YD.SI	Mufj Financial Adr 10
N5ZD.SI	Posco Adr 10
N6DD.SI	Mizuho Financial Adr 10
N6ED.SI	Ntt Docomo Adr 10
N6FD.SI	Toyota Motor Adr 10
N6H.SI	Internet Technology Grp Ltd
N6L.SI	Ishares Asia Loc Cur Bond Etf
N6M.SI	Ishares Usd Asia Bond Etf
N9LU.SI	Perennial China Retail Trust
NC2.SI	Sri Trang Agro-industry Pcl
NC3W.SI	Joyas International W160125
NC9.SI	Malaysia Smelting Corp Bhd 100
ND8U.SI	Frasers Commercial Trust
NF1.SI	Sapphire Corporation Limited
NF3.SI	Lyxor Etf Asia Infrastruct 10
NF4.SI	Lyxor Etf Asia Technology 10
NF5.SI	Lyxor Etf Asia Financials 10
NF6.SI	Lyxor Etf Asia Con Stap 10
NF7.SI	Lyxor Etf Asia Materials 10
NG6W.SI	Wee Hur Holdings Ltd W140222
NI3.SI	Ue E&c Ltd.
NI7Z.SI	Capitamalltrust$300m2%130225
NO4.SI	Dyna-mac Holdings Ltd.
NR7.SI	Raffles Education Corp Ltd
NS8U.SI	Hutchison Port Holdings Trust
NT1.SI	Hotung Investment Hldgs Ltd
NU6Z.SI	F&n Treasury S$220m2.48%160328
NU7Z.SI	F&n Treasury S$80m3.15%180328
O02.SI	Ogl Resources Limited
O05.SI	Ocean Sky International Ltd
O08.SI	Ossia International Ltd
O10.SI	Orchard Parade Holdings Ltd
O15.SI	Ocbc Bk 4.2% Ncps
O16.SI	Ocbc Bk S$500m4.5%ncps 100
O23.SI	Osim International Ltd
O2F.SI	Swing Media Technology Grp Ltd
O2HW.SI	Swing Media Technology W140106
O2I.SI	Avic Intl Investments Limited
O2R.SI	Chinasing Investment Hldg Ltd
O31.SI	Ocbc Cap 3.93% S$400m Ncps 10
O32.SI	Olam International Limited
O39.SI	Oversea-chinese Banking Corp
O57.SI	Omega Navigation Ent Inc.
O5QW.SI	Mdr Limited W140925
O5RU.SI	Aims Amp Cap Industrial Reit
O5YW.SI	Cosco Corp Bp Ecw121204
O6Z.SI	Lonza Group Ltd
O7AW.SI	Nobel Design Holdings W141021
O87.SI	Spdr Gold Shares
O9A.SI	Dbxt Msci Singapore Im Etf 10
O9B.SI	Dbxt Msci Asiapac Exjap Etf 10
O9C.SI	Dbxt Msci Bangladesh Im Etf 10
O9D.SI	Dbxt Msci Pakistan Im Etf 10
O9E.SI	Parkson Retail Asia Limited
O9KW.SI	Dbs Mb Ecw130102
O9LW.SI	Yangzijiang Mbl Ecw130102
O9P.SI	Ishares Usd Asia Hy Bond Etf
O9Q.SI	Ishares Asia Lc 1-3y Bond Etf
OJ4.SI	Contel Corporation Limited
OL9S.SI	Nz10100f 300901
OM0S.SI	Nx11100x 210601
OM1S.SI	N511100w 160401
OM2S.SI	N710100z 170401
OM3S.SI	Nx04100f 140701
OM4S.SI	Nx03100z 130701
OM5S.SI	Ny03100a 180901
OM7S.SI	Ny01100f 160901
ON7.SI	Weiye Holdings Limited
OU8.SI	Centurion Corporation Limited
OV8.SI	Sheng Siong Group Ltd
P01.SI	Poh Tiong Choon Logistics Ltd
P05.SI	People's Food Holdings Limited
P06.SI	Pca Technology Limited
P07.SI	Pne Industries Ltd
P11.SI	Pacific Andes Resources Devltd
P12.SI	Powermatic Data Systems Ltd
P13.SI	Penguin International Limited
P15.SI	Pacific Century Regional Devts
P19.SI	Pci Ltd
P22.SI	Pertama Holdings Limited
P29.SI	Popular Holdings Limited
P2P.SI	Lyxor Etf Thai Set 10
P2Q.SI	Lyxor Etf Indonesia 10
P30.SI	United Fiber System Limited
P31.SI	Pharmesis International Ltd.
P34.SI	Petra Foods Limited
P36.SI	Pan Hong Property Group Ltd
P40U.SI	Starhill Global Reit
P47.SI	Pacific Healthcare Hldgs Ltd
P52.SI	Pan-united Corporation Ltd
P58.SI	Lyxor China H 10
P5GW.SI	Ezra Bp Ecw130402
P5HW.SI	Yanlord Bpecw130402
P5P.SI	Cimb S&p Asia Pacific Dividend
P60.SI	Lyxor Asia 10
P74.SI	China Kangda Food Company Ltd
P7VU.SI	Hutchison Port Hldgs Trust S$
P82.SI	Plastoform Holdings Limited
P8A.SI	Cordlife Group Limited
P8GW.SI	Olam Bp Ecw130403
P8HW.SI	Stxosv Bp Ecw130103
P8Z.SI	Bumitama Agri Ltd.
P9BW.SI	Ocbc Bk Bp Ecw130103
P9D.SI	Civmec Limited
P9GZ.SI	Genting Sps$500m5.125% Perpsec
P9J.SI	Global Premium Hotels Limited
P9KW.SI	Psl Holdings W170422
PA3.SI	Ta Corporation Ltd
PA7W.SI	Sti 3100 Mb Ecw130131
PA8W.SI	Sti 2800 Mb Epw130131
PA9W.SI	Hsi 21000 Mb Ecw130130
PB0W.SI	Hsi 18000 Mb Epw130130
PB6W.SI	Singtel Mb Ecw130301
PG7W.SI	Eu Yan Sang Intl W161128
PH0.SI	Vgo Corporation Limited
PH1S.SI	Na12100n 420202
PH2S.SI	N212100h 140201
PW3Z.SI	Capitamallastrs$400m3.8%220112
PX3W.SI	R H Energy Ltd W170108
Q01.SI	Qaf Ltd
Q0F.SI	Ihh Healthcare Berhad
Q0KW.SI	Olam Mb Ecw130103
Q0MW.SI	Capitaland Mb Ecw130103
Q0PW.SI	Singapore Exchangembecw121204
Q0QW.SI	Sti 3200 Mb Ecw130328
Q0RW.SI	Sti 2700 Mb Epw130328
Q0VW.SI	Bumitama Agri Mb Ecw130103
Q0W.SI	Jb Foods Limited
Q0X.SI	Ultro Technologies Limited
Q0YW.SI	Ultro Technologies Ltd W130613
Q1HW.SI	Ihhhealthcareberhadrbecw121217
Q1KW.SI	Singapore Exchangerbecw121217a
Q1MW.SI	Kepcorp Rb Ecw121217a
Q1NW.SI	Dbs Rb Ecw121217
Q1P.SI	Ascendas Hospitality Trust
Q1TW.SI	Ihhhealthcareberhadbpecw130402
Q3HW.SI	Hsi 22000 Mb Ecw130627
Q3IW.SI	Hsi 18000 Mb Epw130627
Q3JW.SI	Second Chance Prop W170724
Q3KW.SI	Genting Sin Mb Ecw130107
Q3OW.SI	Wilmar Mb Ecw130201
Q3XW.SI	Fraser And Neave Mb Ecw121204
Q4AW.SI	Singtel Mb Ecw130603
Q4BW.SI	Capitaland Bp Ecw130402
Q4CW.SI	Ihhhealthcareberhadbpecw130702
Q4DW.SI	Kepcorp Bp Epw130103
Q4EW.SI	Capitaland Mb Epw130103
Q4FW.SI	Kepcorp Mb Epw121204
Q4GW.SI	Sembcorp Marine Mb Epw130103
Q4HW.SI	Capitaland Mb Ecw130204
Q4MW.SI	Olam Mb Ecw130201
Q4NW.SI	Sembcorp Marine Mb Ecw130104
Q4OW.SI	Sti 3250 Mb Ecw121231
Q4PW.SI	Sti 3100 Mb Epw121231
Q4QW.SI	Yanlord Mb Ecw130201
Q4RW.SI	Cosco Corp Mb Ecw130204
Q4TW.SI	Singapore Exchangembepw121204
Q4VW.SI	Sti 2950 Bp Epw121228
Q4WW.SI	Sti 3150 Bp Ecw121228
Q4XW.SI	Dbs Bp Ecw130103
Q4YW.SI	Dbs Bp Ecw130402
Q4ZW.SI	Dbs Bp Epw130103
Q5AW.SI	Kepcorp Bp Ecw130103
Q5BW.SI	Ocbc Bk Bp Ecw130402
Q5CW.SI	Sembcorp Marine Bp Ecw130103
Q5DW.SI	Singapore Exchangebpecw130103
Q5EW.SI	Uob Bp Ecw130103
Q5FW.SI	Olam Bp Ecw130702
Q5HW.SI	Stxosv Bp Ecw130402
Q5KW.SI	Genting Sin Bp Ecw130702
Q5LW.SI	Wilmar Bp Ecw130402
Q5NW.SI	Uob Bp Epw130103
Q5OW.SI	Noble Group Mb Ecw130201
Q5PW.SI	Stxosv Mb Ecw130201
Q5QW.SI	Wilmar Mb Ecw130102
Q5RW.SI	Wilmar Mb Epw130116
Q5SW.SI	Ezion Mb Ecw130301
Q5T.SI	Far East Hospitality Trust
Q7GW.SI	Ftsechinaa50 8000 Mbecw130130
Q7Q.SI	Surface Mount Tech (hldgs) Ltd
Q7RW.SI	Dbs Mb Ecw121205
Q7SW.SI	Dbs Mb Epw121205
Q7TW.SI	Genting Sin Mb Ecw130401
Q7UW.SI	Kepcorp Mb Ecw130102
Q7VW.SI	Ocbc Bk Mb Ecw130102
Q7W.SI	Lantrovision (s) Ltd
Q7YW.SI	Capitaland Mb Ecw131202
Q7ZW.SI	Dbs Mb Ecw131202
Q8AW.SI	Noble Group Mb Ecw130401
Q8BW.SI	Uob Mb Ecw130104
Q8CW.SI	Uob Mb Epw130104
Q8DW.SI	Biosensors Mb Ecw130603
Q8EW.SI	Ezra Mb Ecw130603
Q8FW.SI	Nol Mb Ecw130604
Q8GW.SI	Dbs Mb Ecw130104
Q8NW.SI	Noble Group Bp Ecw130402a
Q8UW.SI	Globallogisticpropmbecw130603
Q8VW.SI	Uob Mb Ecw130201
Q8WW.SI	Ezion Mb Ecw130603
Q8XW.SI	Noble Group Mb Ecw130502
Q8YW.SI	Noble Group Mb Epw130201
QC7.SI	Q & M Dental Group (s) Limited
QD0W.SI	Ftsechinaa50 9000 Mbecw130130
QD1W.SI	Ftsechinaa50 8000 Mbepw130130
QF6.SI	Swee Hong Limited
QG1.SI	Metech International Limited
QK9.SI	Is Msci India 100 S$
QL0.SI	Ishares Asia Lc1-3ybond Etf S$
QL1.SI	Ishares Asialoc Curbond Etf S$
QL2.SI	Ishares Usd Asia Bond Etf S$
QL3.SI	Ishares Usd Asia Hy Bond Etfs$
QL8W.SI	Noble Group Bp Ecw130402
QM5W.SI	Capitaland Bp Ecw130103
QM8W.SI	Wilmar Bp Ecw130103a
QN7W.SI	Baker Technology Ltd W150605
QN9W.SI	Olam Rb Ecw121210
QO0W.SI	Olam Rb Ecw121217
QO1W.SI	Sembcorp Marine Rb Ecw121217
QO4W.SI	Kepcorp Rb Ecw121217
QQ4W.SI	Olam Bp Ecw130103
QQ6W.SI	Biosensors Bp Ecw130702
QQ7W.SI	Genting Sin Bp Ecw130402
QQ8W.SI	Indofood Agri Bp Ecw130402
QQ9W.SI	Ocbc Bk Bp Ecw130103a
QR0W.SI	Yangzijiang Bp Ecw130402a
QR9.SI	Cimb S&p Asia Pac Dividend S$
QS0.SI	Cimb Ft Asean 40 100 S$
QS1W.SI	Capitaland Bp Epw130702
QS3W.SI	Capitaland Rb Ecw121217
QS4W.SI	Noble Group Rb Ecw130121
QS9.SI	Radiance Group Limited
QX4W.SI	Metech International W150627
QX7W.SI	Ocbc Bk Bp Epw130103
QY2W.SI	Yanlord Mb Ecw121204
QY6W.SI	Hsi 20400 Bp Ecw121228
QY7W.SI	Hsi 17800 Bp Epw121228
QY9W.SI	Hscei 10000 Bp Ecw121228
QZ0W.SI	Hscei 9100 Bp Epw121228
QZ2W.SI	Genting Sin Mb Epw130103
QZ4W.SI	Wilmar Mb Epw130103
QZ5W.SI	Biosensors Mb Epw130103
QZ6W.SI	Noble Group Mb Epw130103
R01.SI	Raffles Medical Group Ltd
R07.SI	Rotary Engineering Limited
R0AW.SI	Hsi 22800 Ub Ecw121228
R0BW.SI	Hsi 22000 Bp Ecw121228
R0ER.SI	Digiland International Ltd R
R0FW.SI	Hsi 23400 Mb Ecw121228
R0HW.SI	Dbs Mb Ecw130204
R0IW.SI	Kepcorp Mb Ecw130301
R0JW.SI	Capitaland Mb Epw130702
R0KW.SI	Ocbc Bk Mb Ecw130702
R0LW.SI	Wilmar Mb Ecw130702
R0MW.SI	Genting Sin Mb Epw130701
R0NW.SI	Wilmar Mb Epw130701
R0OW.SI	Sembcorp Marine Mb Epw130701
R0PW.SI	Ftsechinaa50 7200 Mbepw130429
R0QW.SI	Ftsechinaa50 7800 Mbecw130429
R0RW.SI	Hscei 10800 Bp Ecw130130
R0SW.SI	Hscei 10400 Bp Epw130130
R0TW.SI	Kepcorp Bp Ecw130402
R0UW.SI	Sembcorp Marine Bp Ecw130402
R0VW.SI	Uob Bp Ecw130402
R0WW.SI	Sembcorp Marine Mb Ecw130502
R0XW.SI	Dbs Bp Ecw130402a
R0YW.SI	Sti 3000 Bp Ecw130130
R0ZW.SI	Dbs Bp Epw130402
R14.SI	Ramba Energy Limited
R1AW.SI	Sti 3100 Bp Epw130130
R1BW.SI	Wilmar Bp Ecw130702
R1CW.SI	Hsi 22600 Ub Ecw130130
R1DW.SI	Hsi 21400 Ub Ecw130130
R1EW.SI	Hsi 22000 Ub Ecw130130
R1FW.SI	Hsi 22600 Ub Epw130130
R1GW.SI	Hsi 22000 Ub Epw130130
R1HW.SI	Hsi 21400 Ub Epw130130
R1IW.SI	Hsi 20600 Mb Ecw121228
R1JW.SI	Hsi 20200 Mb Epw121228
R1OW.SI	Hsi 21800 Mb Ecw130130
R1PW.SI	Hsi 21200 Mb Ecw130130
R1RW.SI	Hsi 20400 Mb Epw130130
R1SW.SI	Hsi 21000 Mb Epw130130
R1TW.SI	Hsi 21600 Mb Epw130130
R1UR.SI	Liongold Corp Ltd R
R1VR.SI	Liongold Corp Ltd R250
R1WW.SI	Ezion Mb Ecw130701
R1XW.SI	Uob Mb Ecw130301
R1YW.SI	Hsi 22400 Mb Ecw130130
R1ZW.SI	Hsi 22200 Mb Epw130130
R2AW.SI	Sti 2900 Mb Ecw130228
R2C.SI	Biosensors Int'l Group.es.1212
R2D.SI	Capitaland Limited.es.1212
R2G.SI	Cosco Corporation (s).es.1212
R2H.SI	Dbs Group Holdings Ltd.es.1212
R2I.SI	Ezra Holdings.es.1212
R2K.SI	Genting Sp.es.1212
R2L.SI	Golden Agri-resources.es.1212
R2M.SI	Indofood Agri Res.es.1212
R2N.SI	Keppel Corporation.es.1212
R2O.SI	Keppel Land Limited.es.1212
R2P.SI	Mapletree Logistics.es.1212
R2R.SI	Neptune Orient Lines.es.1212
R2S.SI	Noble Group Limited.es.1212
R2T.SI	Olam International.es.1212
R2U.SI	Oversea-chinesebanking.es.1212
R2W.SI	Sembcorp Industriesltd.es.1212
R2X.SI	Sembcorp Marine Ltd.es.1212
R2Y.SI	Singapore Airlinesltd.es.1212
R2Z.SI	Singapore Exchange.es.1212
R3A.SI	Singaporepresshldgsltd.es.1212
R3C.SI	Singtel.es.1212
R3E.SI	Starhub.es.1212
R3G.SI	United Overseasbankltd.es.1212
R3H.SI	Wilmar International.es.1212
R3I.SI	Yangzijiang Shipbldg.es.1212
R3J.SI	Yanlord Land Group.es.1212
R3KW.SI	Nol Mb Ecw130801
R3LW.SI	Olam Mb Ecw130603
R3MW.SI	Yangzijiang Mb Ecw130801
R3NW.SI	Cosco Corp Bp Ecw130402
R3PW.SI	Olam Bp Ecw130402
R3QW.SI	Stxosv Bp Ecw130702
R3RW.SI	Yangzijiang Bp Ecw130702
R3SW.SI	Stxosv Mb Ecw130801
R3TW.SI	Capitaland Bp Ecw130702
R3VW.SI	Ocbc Bk Bp Epw130604
R3WW.SI	Uob Bp Epw130702
R3YR.SI	Ktl Global Limited R
R3ZR.SI	Ktl Global Limited R400
R4A.SI	Yeo Hiap Seng Ltd 1
R4BR.SI	Hai Leck Holdings Limited R
R4DW.SI	Hsi 22400 Bp Ecw130130
R4FW.SI	Hsi 21000 Bp Epw130327
R4GW.SI	Hsi 21600 Bp Epw130130
R4IR.SI	Hai Leck Holdings Limited R250
R4OW.SI	Hsi 22400 Ub Epw130227
R4PW.SI	Dbs Rb Ecw130325
R4VW.SI	Noble Group Rb Ecw130429
R4WW.SI	Singapore Exchangerbecw130422
R4XW.SI	Dbs Mb Ecw130604
R5BW.SI	Uob Mb Epw130704
R5CW.SI	Hsi 23000 Mb Ecw130130
R5DW.SI	Hsi 22800 Mb Epw130130
R5EW.SI	Genting Sin Mb Ecw130910
R5FW.SI	Olam Mb Ecw130606
R5GW.SI	Yanlord Mb Ecw130910
R5HW.SI	Wilmar Mb Ecw130910
R5JW.SI	Uob Rb Ecw130429
R5MW.SI	Ocbc Bk Rb Ecw130325
R5NW.SI	Genting Sin Rb Ecw130624
R5TW.SI	Capitaland Mb Epw130903
R5UW.SI	Liongold Corp Ltd W151217
R5WW.SI	Sti 3100 Mb Epw130430
R5XW.SI	Sti 3250 Mb Ecw130430
R5YW.SI	Capitaland Mb Ecw130704
R5ZW.SI	Dbs Mb Ecw130529
R6AW.SI	Cosco Corp Mb Ecw130910
R6OW.SI	Kepcorp Mb Ecw130704
R6PW.SI	Ftsechinaa50 8800 Mbecw130627
R6QW.SI	Ftsechinaa50 8200 Mbepw130627
R6RW.SI	Hsi 23200 Mb Ecw130227
R6SW.SI	Hsi 23000 Mb Epw130227
R6TW.SI	Hsi 22600 Mb Ecw130227
R6UW.SI	Hsi 22400 Mb Epw130227
R6VW.SI	Hsi 22000 Mb Ecw130227
R6Y.SI	Biosensors Int'l Group.es.1301
R6Z.SI	Capitaland Limited.es.1301
R7C.SI	Cosco Corporation (s).es.1301
R7D.SI	Dbs Group Holdings Ltd.es.1301
R7E.SI	Ezra Holdings.es.1301
R7G.SI	Genting Sp.es.1301
R7H.SI	Golden Agri-resources.es.1301
R7I.SI	Indofood Agri Res.es.1301
R7K.SI	Keppel Land Limited.es.1301
R7L.SI	Mapletree Logistics.es.1301
R7M.SI	Midas Hldgs.es.1301
R7N.SI	Neptune Orient Lines.es.1301
R7O.SI	Noble Group Limited.es.1301
R7Q.SI	Oversea-chinesebanking.es.1301
R7U.SI	Singapore Airlinesltd.es.1301
R7V.SI	Singapore Exchange.es.1301
R7Y.SI	Singtel.es.1301
R8C.SI	United Overseasbankltd.es.1301
R8D.SI	Wilmar International.es.1301
R8E.SI	Yangzijiang Shipbldg.es.1301
R8F.SI	Yanlord Land Group.es.1301
R8JW.SI	Dbs Mb Epw130603
RC3W.SI	Fraser And Neave Bp Ecw130402
RC4W.SI	Ezion Bp Ecw130402
RC5.SI	Triyards Holdings Limited
RD1W.SI	Bumitama Agri Mb Ecw130603
RD2W.SI	Dbs Mb Epw130301
RD3W.SI	Kepcorp Mb Epw130301
RD4W.SI	Ocbc Bk Mb Epw130301
RD5W.SI	Singapore Exchangemblepw130502
RD7W.SI	Hsi 21000 Ub Ecw121228
RD8W.SI	Hsi 21800 Ub Ecw121228
RE0W.SI	Hsi 20400 Ub Epw121228
RE1W.SI	Hsi 21600 Ub Epw121228
RE2.SI	Courts Asia Limited
RE4.SI	Geo Energy Resources Limited
RE5W.SI	Singapore Exchangembecw130502
RE6W.SI	Sembcorp Marine Mb Ecw130604
RE7W.SI	Kepcorp Mb Ecw130401
RE8W.SI	Indofood Agri Mb Ecw130603
RE9W.SI	Dbs Mb Ecw130201
RF1U.SI	Religare Health Trust
RF3W.SI	Hsi 21400 Mb Ecw121228
RF4W.SI	Hsi 22400 Mb Ecw121228
RF5W.SI	Hsi 22000 Mb Epw121228
RF6W.SI	Hsi 21000 Mb Epw121228
RF7.SI	Gaylin Holdings Limited
RF8W.SI	Ocbc Bk Mb Ecw130701
RF9W.SI	Sti 3100 Mb Ecw130228
RG0W.SI	Sti 2950 Mb Epw130228
RG1W.SI	Uob Mb Epw130301
RG2W.SI	Yangzijiang Mb Ecw130701
RK0W.SI	Kepcorp Mb Ecw131202
S05.SI	Sim Lian Group Limited
S07.SI	Shangri-la Asia Limited
S08.SI	Singapore Post Limited
S10.SI	Super Group Ltd.
S13.SI	Sp Corporation Limited
S19.SI	Singapore Shipping Corp Ltd
S20.SI	Straits Trading Co. Ltd
S21.SI	Genting Hong Kong Limited
S23.SI	Singapura Finance Ltd
S24.SI	Stats Chippac Ltd
S27.SI	Spdr S&p 500 Etf Trust
S29.SI	Stamford Tyres Corporationltd
S30.SI	Singapore Land Limited
S35.SI	Sing Investments & Finance Ltd
S38.SI	Sunray Holdings Limited
S41.SI	Hong Leong Finance Limited
S44.SI	Engro Corporation Limited
S45U.SI	Singapore Index Fund
S46.SI	San Teh Limited
S47.SI	Superior Multi-packaging Ltd
S48.SI	Superbowl Holdings Limited
S49.SI	Singapore Reinsurance Cor Ltd
S51.SI	Sembcorp Marine Ltd
S53.SI	Smrt Corporation Ltd
S56.SI	Samudera Shipping Line Ltd
S58.SI	Sats Ltd.
S59.SI	Sia Engineering Co Ltd
S61.SI	Sbs Transit Ltd
S63.SI	Singapore Tech Engineering Ltd
S68.SI	Singapore Exchange Limited
S69.SI	Serial System Ltd
S71.SI	Sunright Ltd
S73.SI	Stratech Systems Limited
S85.SI	Straco Corporation Limited
S91.SI	Chinavision Media Grp Limited
T03.SI	Tat Hong Holdings Ltd
T04.SI	Thakral Corporation Ltd
T06.SI	Tiong Woon Corp Holding Ltd
T08.SI	Tye Soon Ltd
T09.SI	Tt International Limited
T12.SI	Tat Seng Packaging Group Ltd
T13.SI	Rh Petrogas Limited
T14.SI	Tianjin Zhong Xin Pharm Group
T15.SI	Tan Chong Int'l Ltd
T16.SI	China Dairy Group Ltd
T18.SI	Tpv Technology Limited
T19.SI	Transview Holdings Limited
T20.SI	Scintronix Corporation Ltd.
T24.SI	Tuan Sing Holdings Limited
T26.SI	Tsit Wing Intl Holdings Ltd
T28.SI	Teledata (singapore) Ltd
T35.SI	Sunningdale Tech Ltd
T39.SI	Singapore Press Hldgs Ltd
T41.SI	Telechoice International Ltd
T42.SI	China Auto Electronics Grp Ltd
T43.SI	Techcomp (holdings) Limited
T55.SI	Transpac Industrial Hldgs Ltd
T57.SI	Shanghai Asia Holdings Limited
T77.SI	Southern Packaging Group Ltd
T80.SI	Sinobest Technology Hldgs Ltd.
T82U.SI	Suntec Real Estate Inv Trust
U01.SI	United Food Holdings Limited
U04.SI	United Engineers Ltd Ord
U05.SI	United Engineers 7.5% Cum Pref
U06.SI	United Industrial Corp Ltd
U07.SI	United Intl Securities Ltd
U09.SI	Upp Holdings Limited
U10.SI	Uob-kay Hian Holdings Limited
U11.SI	United Overseas Bank Ltd
U13.SI	United Overseas Insurance Ltd
U14.SI	Uol Group Limited
U18.SI	Unified Communications Hldgltd
U19.SI	United Envirotech Ltd
U77.SI	Sarin Technologies Ltd
U96.SI	Sembcorp Industries Ltd
V01.SI	Vicom Ltd
V03.SI	Venture Corporation Limited
V69.SI	Union Steel Holdings Limited
W01.SI	Wbl Corporation Limited
W05.SI	Wing Tai Hldgs Ltd
W12.SI	Willas-array Elec (hldgs) Ltd
W81.SI	Sky China Petroleum Svcs Ltd.
X04.SI	Sp Ausnet
X06.SI	Sinopipe Holdings Limited
X27.SI	Shanghai Turbo Enterprises Ltd
X64.SI	Star Pharmaceutical Limited
Y02.SI	Yongnam Holdings Limited
Y03.SI	Yeo Hiap Seng Ltd
Y06.SI	Youcan Foods International Ltd
Y07.SI	Global Yellow Pages Limited
Y08.SI	Yhi International Limited
Y34.SI	Sunshine Holdings Limited
Y35.SI	Sun East Group Limited
Y45.SI	Singapore Windsor Holdings Ltd
Y92.SI	Thai Beverage Public Co Ltd
Z01.SI	Zagro Asia Limited
Z02.SI	China Powerplus Limited
Z25.SI	Yanlord Land Group Limited
Z59.SI	Yoma Strategic Holdings Ltd
Z74.SI	Singtel
Z75.SI	Synear Food Holdings Limited
Z77.SI	Singtel 10
Z78.SI	Singtel 100
